"book","author","genre","publisher","publishDate"
"http://dbpedia.org/resource/Stone_Blind","http://dbpedia.org/resource/Natalie_Haynes","http://dbpedia.org/resource/Greek_mythology","http://dbpedia.org/resource/Pan_Books",2022-09-15
"http://dbpedia.org/resource/Stone_Blind","http://dbpedia.org/resource/Natalie_Haynes","http://dbpedia.org/resource/Historical_fiction","http://dbpedia.org/resource/Pan_Books",2022-09-15
"http://dbpedia.org/resource/Stone_Blind","http://dbpedia.org/resource/Natalie_Haynes","http://dbpedia.org/resource/Fantasy","http://dbpedia.org/resource/HarperCollins",2022-09-15
"http://dbpedia.org/resource/Stone_Blind","http://dbpedia.org/resource/Natalie_Haynes","http://dbpedia.org/resource/Greek_mythology","http://dbpedia.org/resource/HarperCollins",2022-09-15
"http://dbpedia.org/resource/Stone_Blind","http://dbpedia.org/resource/Natalie_Haynes","http://dbpedia.org/resource/Historical_fiction","http://dbpedia.org/resource/HarperCollins",2022-09-15
"http://dbpedia.org/resource/The_Grace_Kelly_Dress","http://dbpedia.org/resource/Brenda_Janowitz","http://dbpedia.org/resource/Historical_fiction","http://dbpedia.org/resource/Harlequin_Enterprises",2020-03-03
"http://dbpedia.org/resource/The_Mare","http://dbpedia.org/resource/Mary_Gaitskill","http://dbpedia.org/resource/Bildungsroman","http://dbpedia.org/resource/Pantheon_Books",2015-11-03
"http://dbpedia.org/resource/Pan_Tadeusz","http://dbpedia.org/resource/Adam_Mickiewicz","http://dbpedia.org/resource/Epic_poetry","http://dbpedia.org/resource/Aleksander_Jełowicki",1834-06-28
"http://dbpedia.org/resource/Beautiful_Creatures_(novel)","http://dbpedia.org/resource/Kami_Garcia","http://dbpedia.org/resource/Young_adult_literature","http://dbpedia.org/resource/Little,_Brown_and_Company",2009-12-01
"http://dbpedia.org/resource/Beautiful_Creatures_(novel)","http://dbpedia.org/resource/Kami_Garcia","http://dbpedia.org/resource/Fantasy_literature","http://dbpedia.org/resource/Little,_Brown_and_Company",2009-12-01
"http://dbpedia.org/resource/Beautiful_Creatures_(novel)","http://dbpedia.org/resource/Kami_Garcia","http://dbpedia.org/resource/Romance_novel","http://dbpedia.org/resource/Little,_Brown_and_Company",2009-12-01
"http://dbpedia.org/resource/Beautiful_Creatures_(novel)","http://dbpedia.org/resource/Margaret_Stohl","http://dbpedia.org/resource/Young_adult_literature","http://dbpedia.org/resource/Little,_Brown_and_Company",2009-12-01
"http://dbpedia.org/resource/Beautiful_Creatures_(novel)","http://dbpedia.org/resource/Margaret_Stohl","http://dbpedia.org/resource/Fantasy_literature","http://dbpedia.org/resource/Little,_Brown_and_Company",2009-12-01
"http://dbpedia.org/resource/Beautiful_Creatures_(novel)","http://dbpedia.org/resource/Margaret_Stohl","http://dbpedia.org/resource/Romance_novel","http://dbpedia.org/resource/Little,_Brown_and_Company",2009-12-01
"http://dbpedia.org/resource/Beautiful_Darkness","http://dbpedia.org/resource/Kami_Garcia","http://dbpedia.org/resource/Young_adult_literature","http://dbpedia.org/resource/Little,_Brown_and_Company",2010-10-12
"http://dbpedia.org/resource/Beautiful_Darkness","http://dbpedia.org/resource/Kami_Garcia","http://dbpedia.org/resource/Fantasy_literature","http://dbpedia.org/resource/Little,_Brown_and_Company",2010-10-12
"http://dbpedia.org/resource/Beautiful_Darkness","http://dbpedia.org/resource/Kami_Garcia","http://dbpedia.org/resource/Romance_novel","http://dbpedia.org/resource/Little,_Brown_and_Company",2010-10-12
"http://dbpedia.org/resource/Beautiful_Darkness","http://dbpedia.org/resource/Margaret_Stohl","http://dbpedia.org/resource/Young_adult_literature","http://dbpedia.org/resource/Little,_Brown_and_Company",2010-10-12
"http://dbpedia.org/resource/Beautiful_Darkness","http://dbpedia.org/resource/Margaret_Stohl","http://dbpedia.org/resource/Fantasy_literature","http://dbpedia.org/resource/Little,_Brown_and_Company",2010-10-12
"http://dbpedia.org/resource/Beautiful_Darkness","http://dbpedia.org/resource/Margaret_Stohl","http://dbpedia.org/resource/Romance_novel","http://dbpedia.org/resource/Little,_Brown_and_Company",2010-10-12
"http://dbpedia.org/resource/Divergent_(novel)","http://dbpedia.org/resource/Veronica_Roth","http://dbpedia.org/resource/Science_fiction","http://dbpedia.org/resource/HarperCollins",2011-04-26
"http://dbpedia.org/resource/Divergent_(novel)","http://dbpedia.org/resource/Veronica_Roth","http://dbpedia.org/resource/Young_adult_literature","http://dbpedia.org/resource/HarperCollins",2011-04-26
"http://dbpedia.org/resource/Divergent_(novel)","http://dbpedia.org/resource/Veronica_Roth","http://dbpedia.org/resource/Utopian_and_dystopian_fiction","http://dbpedia.org/resource/HarperCollins",2011-04-26
"http://dbpedia.org/resource/Insurgent_(novel)","http://dbpedia.org/resource/Veronica_Roth","http://dbpedia.org/resource/Science_fiction","http://dbpedia.org/resource/HarperCollins",2012-05-01
"http://dbpedia.org/resource/Insurgent_(novel)","http://dbpedia.org/resource/Veronica_Roth","http://dbpedia.org/resource/Young_adult_literature","http://dbpedia.org/resource/HarperCollins",2012-05-01
"http://dbpedia.org/resource/Insurgent_(novel)","http://dbpedia.org/resource/Veronica_Roth","http://dbpedia.org/resource/Romance_novel","http://dbpedia.org/resource/HarperCollins",2012-05-01
"http://dbpedia.org/resource/Insurgent_(novel)","http://dbpedia.org/resource/Veronica_Roth","http://dbpedia.org/resource/Utopian_and_dystopian_fiction","http://dbpedia.org/resource/HarperCollins",2012-05-01
